profile,id,filename,url,referrer,time_utc,bytes_received,bytes_total,host,reasons
Default,2,Zac Bedrock world!! (imported).mcworld,https://drive.usercontent.google.com/download?id=1dWwTxWsZ9APwaXrMZMgqBXoWeNuK5kd_&export=download&authuser=0,,2025-05-29T01:54:00.547811+00:00,142490379,142490379,drive.usercontent.google.com,
Default,3,zjdavis-fall_semester_2025.ics,https://my.illinoisstate.edu/class-schedule/week-schedule/2262,https://my.illinoisstate.edu/class-schedule/week-schedule/2262,2025-08-18T03:59:58.975090+00:00,2068,2068,my.illinoisstate.edu,
Default,4,"Stewart J., Clegg D., Watson S. Calculus. Early Transcendentals 9ed 2020.pdf",https://ia800101.us.archive.org/11/items/stewart-j.-clegg-d.-watson-s.-calculus.-early-transcendentals-9ed-2020/Stewart%20J.%2C%20Clegg%20D.%2C%20Watson%20S.%20Calculus.%20Early%20Transcendentals%209ed%202020.pdf,https://ia800101.us.archive.org/11/items/stewart-j.-clegg-d.-watson-s.-calculus.-early-transcendentals-9ed-2020/Stewart%20J.%2C%20Clegg%20D.%2C%20Watson%20S.%20Calculus.%20Early%20Transcendentals%209ed%202020.pdf,2025-08-20T02:36:50.193885+00:00,44181534,44181534,ia800101.us.archive.org,
Default,5,8_25 math notes.pdf,https://docs.google.com/document/d/13vtV0hZymf56EJAuNca7sAci6DeFqnk3kt1VDxPLsoo/edit?tab=t.0,https://docs.google.com/,2025-08-26T23:01:48.061945+00:00,819655,819655,docs.google.com,
Default,6,IT360 Project Proposal.rtf,https://docs.google.com/document/d/1tGPBDT46jWbhoOvxhnEJs1ZMfBuC2LcNdT9nNnSp5q4/edit?tab=t.0#heading=h.8i1uuimnvw9g,https://docs.google.com/,2025-08-29T04:12:47.608104+00:00,65622,65622,docs.google.com,
Default,7,IT360 Project Proposal.pdf,https://docs.google.com/document/d/1tGPBDT46jWbhoOvxhnEJs1ZMfBuC2LcNdT9nNnSp5q4/edit?tab=t.0#heading=h.8i1uuimnvw9g,https://docs.google.com/,2025-08-29T04:12:54.372447+00:00,54701,54701,docs.google.com,
Default,8,Outline5 - Zac Davis.pdf,https://docs.google.com/document/d/1VdHxfwkOBNOIrWVTNZmGPNtWZndk0da3VJPS2_TCbmY/edit?tab=t.0,https://docs.google.com/,2025-08-29T04:25:52.535420+00:00,1029706,1029706,docs.google.com,
Default,9,8_25 math notes (1).pdf,https://canvas.illinoisstate.edu/courses/40105/assignments/627229/submissions/34840,https://canvas.illinoisstate.edu/courses/40105/assignments/627229/submissions/34840?preview=1&rand=231672,2025-08-29T04:26:36.532500+00:00,819655,819655,canvas.illinoisstate.edu,
Default,10,AutoClicker-1.0.5.exe,https://github.com/zSynctic/AutoClicker/releases/tag/v1.0.5,https://github.com/zSynctic/AutoClicker/releases/tag/v1.0.5,2025-09-02T21:53:02.136119+00:00,17997149,17997149,github.com,executable
Default,11,Zac Davis 12.1-12.4.pdf,https://canvas.illinoisstate.edu/courses/40105/assignments/627181/submissions/34840,https://canvas.illinoisstate.edu/courses/40105/assignments/627181/submissions/34840?preview=1&rand=368789,2025-09-03T04:12:34.380817+00:00,44084153,44084153,canvas.illinoisstate.edu,
Default,12,Zac Davis 12.1-12.4 (1).pdf,https://canvas.illinoisstate.edu/courses/40105/assignments/627181/submissions/34840,https://canvas.illinoisstate.edu/courses/40105/assignments/627181/submissions/34840?preview=1&rand=368789,2025-09-03T04:12:35.470202+00:00,44084153,44084153,canvas.illinoisstate.edu,
Default,15,Outline 2_ Zac Davis 9_5.pdf,https://docs.google.com/document/d/1iq5eIIj_pgjzyECii90kr_IqtIRfrz9IMQLZ6hUHrAI/edit?tab=t.0,https://docs.google.com/,2025-09-08T02:55:45.405872+00:00,1729302,1729302,docs.google.com,
Default,16,Outline 2_ Zac Davis 9_5 (1).pdf,https://canvas.illinoisstate.edu/courses/40105/assignments/627238?confetti=true,https://canvas.illinoisstate.edu/courses/40105/assignments/627238?confetti=true,2025-09-08T02:56:05.620874+00:00,1729302,1729302,canvas.illinoisstate.edu,
Default,17,Outline 8_ Zac Davis 9_5.pdf,https://docs.google.com/document/d/1iq5eIIj_pgjzyECii90kr_IqtIRfrz9IMQLZ6hUHrAI/edit?tab=t.0#heading=h.hrcahfcvhuv2,https://docs.google.com/,2025-09-08T02:56:24.112708+00:00,1729829,1729829,docs.google.com,
Default,18,Outline 9 - Zac Davis.pdf,https://docs.google.com/document/d/18BlFDPrxeHoHgm8azPt3v4I4K47NWonrgTTUJVVndzk/edit?tab=t.0,https://docs.google.com/,2025-09-09T22:23:36.454865+00:00,949759,949759,docs.google.com,
Default,19,Outline 10 - Zac Davis.pdf,https://docs.google.com/document/d/1Z1e_72vzfH36v-iZ7Gpiojjvd9BHNB28rp8yV0sbMJE/edit?tab=t.0,https://docs.google.com/,2025-09-12T04:41:49.765221+00:00,938997,938997,docs.google.com,
Default,20,Outline 11 - Zac Davis.pdf,https://docs.google.com/document/d/12IqvaBwk_ANG-URoD6X7gv2syjqkanfgnTCuCqW7NRk/edit?tab=t.0,https://docs.google.com/,2025-09-15T02:13:12.533996+00:00,1577510,1577510,docs.google.com,
Default,21,Outline 12 - Zac Davis.pdf,https://docs.google.com/document/d/1RtPyhFw8RkAuuAZx1ZZlWvfaGW0vHRNlyH7Pxoc1pBY/edit?tab=t.0#heading=h.7dav12bbviw4,https://docs.google.com/,2025-09-16T23:11:10.950736+00:00,1916338,1916338,docs.google.com,
Default,22,Homework 4 - Zac Davis.pdf,https://canvas.illinoisstate.edu/courses/40105/assignments/627190/submissions/34840,https://canvas.illinoisstate.edu/courses/40105/assignments/627190/submissions/34840?preview=1&rand=760740,2025-09-18T04:52:04.381383+00:00,11351718,11351718,canvas.illinoisstate.edu,
Default,24,Outline 14 - Zac Davis.pdf,https://docs.google.com/document/d/1MtTY17dPKLivq0va2kzvLBB_hiJLV8neiLYHTk9Al9o/edit?tab=t.0,https://docs.google.com/,2025-09-22T02:09:50.669989+00:00,1058282,1058282,docs.google.com,
Default,25,Outline 15 - Zac Davis.pdf,https://docs.google.com/document/d/1B9BcG3JKeXYbzJ2g2hxLDwKuqRqQYX-5hJ5UHkOUMAY/edit?tab=t.0,https://docs.google.com/,2025-09-23T23:00:38.874338+00:00,3312494,3312494,docs.google.com,
Default,26,Outline 16 - Zac Davis.pdf,https://docs.google.com/document/d/1aawR1Rxitjy47elq_A5ramHc7-We9k5NsoZQwWUX9Y4/edit?tab=t.0,https://docs.google.com/,2025-09-26T00:40:12.584948+00:00,2273415,2273415,docs.google.com,
Default,27,First Exam - Zac Davis.pdf,https://docs.google.com/document/d/1W0opm03YURByecocmBZMpDo7Q4wiDJtUa9MpJqd2SZc/edit?tab=t.0,https://docs.google.com/,2025-09-29T04:14:26.650543+00:00,88402,88402,docs.google.com,
Default,28,First Exam - Zac Davis (1).pdf,https://docs.google.com/document/d/1W0opm03YURByecocmBZMpDo7Q4wiDJtUa9MpJqd2SZc/edit?tab=t.0,https://docs.google.com/,2025-09-29T04:17:44.905617+00:00,88898,88898,docs.google.com,
Default,29,First Exam - Zac Davis.docx,https://docs.google.com/document/d/1W0opm03YURByecocmBZMpDo7Q4wiDJtUa9MpJqd2SZc/edit?tab=t.0,https://docs.google.com/,2025-09-29T04:47:35.780681+00:00,9883,9883,docs.google.com,
Default,30,Outline 17 - Zac Davis.pdf,https://docs.google.com/document/d/1h4M7nvTRyddv1TfqDmQPaUaERktDLckaauYR_sa9H-E/edit?tab=t.0,https://docs.google.com/,2025-09-29T04:55:22.913581+00:00,2487354,2487354,docs.google.com,
Default,31,Outline 18 - Zac Davis.pdf,https://docs.google.com/document/d/1ysF8IFa2VWvSn7tnuTGGR8_mBoptgr4HKyaHGq9YRbQ/edit?tab=t.0,https://docs.google.com/,2025-09-30T23:20:38.200104+00:00,1707050,1707050,docs.google.com,
Default,32,Outline 19 - Zac Davis.pdf,https://docs.google.com/document/d/1urkLDrFiDg92MKCRsIog3eOICeXaWt1QrDv0faXt6bc/edit?tab=t.0#heading=h.wjov69w3e04t,https://docs.google.com/,2025-10-02T21:07:01.835282+00:00,1745251,1745251,docs.google.com,
Default,33,Exam 2 - Zac Davis.pdf,https://docs.google.com/document/d/1MRoNlPIO83eUCB6IrBlMJhiTGoDVYqgUL_QCL6to770/edit?tab=t.0#heading=h.1eerxr2y0awc,https://docs.google.com/,2025-10-03T16:50:07.335752+00:00,2218389,2218389,docs.google.com,
Default,35,chromeremotedesktophost.msi,,,2025-10-05T05:21:57.657064+00:00,22261760,22261760,,executable
Default,36,Outline 26 - Zac Davis.pdf,https://docs.google.com/document/d/1QPeXfpiHd6dXwx0Ng_wNdfeiuOT9RFnbRM8QbTclROc/edit?tab=t.0,https://docs.google.com/,2025-10-08T04:47:15.456581+00:00,1978734,1978734,docs.google.com,
Default,37,Outline 21 - Zac Davis.pdf,https://docs.google.com/document/d/1QPeXfpiHd6dXwx0Ng_wNdfeiuOT9RFnbRM8QbTclROc/edit?tab=t.0#heading=h.rxcxekyx93gp,https://docs.google.com/,2025-10-08T04:47:39.991797+00:00,1978290,1978290,docs.google.com,
Default,38,CHE 102 Midterm Study Guide F25.doc,https://mail.google.com/mail/u/0/#inbox/QgrcJHsHnNntpSHBHrcpkZtKPfhcjjdQnLQ,https://mail.google.com/,2025-10-09T04:18:56.245115+00:00,823296,823296,mail.google.com,
Default,39,Midterm Study Guide-Answers F25-1.docx,https://canvas.illinoisstate.edu/courses/36855/pages/midterm-exam-information?module_item_id=1491049,https://canvas.illinoisstate.edu/courses/36855/pages/midterm-exam-information?module_item_id=1491049,2025-10-09T04:21:44.915252+00:00,1197060,1197060,canvas.illinoisstate.edu,
Default,40,Outline 23 - Zac Davis.pdf,https://docs.google.com/document/d/19QMVIwAb4c5aOR9viswoeyAqyaasA7qyl-wFt8aWmVg/edit?tab=t.0#heading=h.3zs4n9fpg0md,https://docs.google.com/,2025-10-13T00:28:24.552320+00:00,1195731,1195731,docs.google.com,
Default,41,CursorSetup-x64-1.7.44.exe,https://cursor.com/home?from=agents,https://cursor.com/,2025-10-14T04:44:56.874653+00:00,120441176,120441176,cursor.com,executable
Default,42,Outline 24 - Zac Davis.pdf,https://docs.google.com/document/d/1f8x4in6rDpgen-VFPdfzvgA-Gc61FAHqWGicJRLDjEo/edit?tab=t.0#heading=h.wklbootn90i8,https://docs.google.com/,2025-10-15T04:45:51.891761+00:00,1314811,1314811,docs.google.com,
Default,43,Outline 25 - Zac Davis.pdf,https://docs.google.com/document/d/1QxmnxBXPFSZrIsFjkqgUitRGMwUKBDaVuTbX6vZ9_-w/edit?tab=t.0#heading=h.5qrg74c4q56j,https://docs.google.com/,2025-10-17T04:45:46.469366+00:00,806059,806059,docs.google.com,
Default,45,Outline 26 - Zac Davis.pdf,https://docs.google.com/document/d/1kK8ONw51_6sLTevGr9MSU4unQhMIBH38yvgi9U-I3uY/edit?tab=t.0,https://docs.google.com/,2025-10-20T02:11:33.252201+00:00,1292091,1292091,docs.google.com,
Default,46,Outline 27 - Zac Davis.pdf,https://docs.google.com/document/d/1VOYsV5Db55OQD6xNS3E1rVkhjTw8LAyGYbsYNVaj7TI/edit?tab=t.0,https://docs.google.com/,2025-10-22T04:17:49.235826+00:00,1177379,1177379,docs.google.com,
Default,47,Outline 28 - Zac Davis.pdf,https://docs.google.com/document/d/1CPfPUajISkg3Ft9CCyWF3Dpd4Hn-ZE5q7a7qOQ7mn6o/edit?tab=t.0,https://docs.google.com/,2025-10-24T04:10:48.841409+00:00,1527780,1527780,docs.google.com,
Default,48,Outline 29 - Zac Davis.pdf,https://docs.google.com/document/d/11hx4tegcHGBTRRz9KtRRdn_lfbvOuyHSCOb6bkZjJXs/edit?tab=t.0#heading=h.a9kt7wjhrq5c,https://docs.google.com/,2025-10-27T01:48:18.921792+00:00,1412476,1412476,docs.google.com,
Default,49,,"file:///C:/Users/Zac/Downloads/Stewart%20J.,%20Clegg%20D.,%20Watson%20S.%20Calculus.%20Early%20Transcendentals%209ed%202020.pdf",,2025-10-28T23:39:54.763855+00:00,0,44181534,,
Default,50,Outline 30 - Zac Davis.pdf,https://docs.google.com/document/d/16L76BHrStV297On7qkFAspCKaR1wQEi54GxDM--Iw6A/edit?tab=t.0#heading=h.rr6cliohpr5g,https://docs.google.com/,2025-10-29T04:44:45.478624+00:00,1144751,1144751,docs.google.com,
Default,52,Outline 8_ Zac Davis 9_5 (1).pdf,https://canvas.illinoisstate.edu/courses/40105/assignments/627238/submissions/34840,https://canvas.illinoisstate.edu/courses/40105/assignments/627238/submissions/34840?preview=1&rand=982991,2025-10-29T22:27:26.258834+00:00,1729829,1729829,canvas.illinoisstate.edu,
Default,53,Outline 32 - Zac Davis.pdf,https://docs.google.com/document/d/1UrRWlg18Mw5tYsGNtK21b0gdd01v8uIPRFq2eZa6l7A/edit?tab=t.0#heading=h.b77vxosazg3u,https://docs.google.com/,2025-11-03T03:32:25.974161+00:00,1013177,1013177,docs.google.com,
Default,54,Outline 33 - Zac Davis.pdf,https://docs.google.com/document/d/1ns8veRICP88AgUVWnJdqiKhWmnT6NUuiFxbtciNU7Ds/edit?tab=t.0,https://docs.google.com/,2025-11-05T05:59:31.725110+00:00,1011924,1011924,docs.google.com,
