profile,id,filename,url,time_utc,host,reasons
rcj1pid8.default-release,,TI84Plus_guidebook_EN.pdf,file:///C:/Users/jamda/Downloads/TI84Plus_guidebook_EN.pdf,,,
rcj1pid8.default-release,,Support_Intel.aspx,http://downloadfinder.intel.com/scripts-df-external/Support_Intel.aspx,,downloadfinder.intel.com,
rcj1pid8.default-release,,Detail_Desc.aspx,http://downloadcenter.intel.com/scripts-df-external/Detail_Desc.aspx?agr=Y&DwnldId=11691&lang=eng,,downloadcenter.intel.com,
rcj1pid8.default-release,,powertoys.asp,http://www.microsoft.com/windowsxp/pro/downloads/powertoys.asp,,www.microsoft.com,
rcj1pid8.default-release,,,http://www.bradygames.com/content/downloads/connected/football/,,www.bradygames.com,
rcj1pid8.default-release,,st_main.html,http://www.reedssports.com/Cgi-Bin/Webc.exe/Catalog/st_main.html?sid=1h2FeHzq,,www.reedssports.com,
rcj1pid8.default-release,,VB_Bridge3.dll,http://shop.gamakatsu.com/scripts/psp/VB_Bridge3.dll?VBEXE=f:\InetPub\scripts\psp\bin\shop.prodt.detail.exe&SKU=3001_HAT002,,shop.gamakatsu.com,executable
rcj1pid8.default-release,,VB_Bridge3.dll,http://shop.gamakatsu.com/scripts/psp/VB_Bridge3.dll?VBEXE=f:%5CInetPub%5Cscripts%5Cpsp%5Cbin%5Cshop.prodt.detail.exe&SKU=3001_HAT002,,shop.gamakatsu.com,executable
rcj1pid8.default-release,,2009fishingreportdownload.pdf,http://dnr.wi.gov/fish/reports/fishingreport/2009fishingreportdownload.pdf,,dnr.wi.gov,
rcj1pid8.default-release,,,http://www.download-free-games.com/download/cat/puzzle/,,www.download-free-games.com,
rcj1pid8.default-release,,3000-2121_4-10413144.html,http://www.download.com/Faylin-s-Dice-Roller/3000-2121_4-10413144.html?tag=pdl_product,,www.download.com,
rcj1pid8.default-release,,,http://myeve.eve-online.com/download/videos/?type=7,,myeve.eve-online.com,
rcj1pid8.default-release,,download.php,http://library.avsim.net/download.php?DLID=118186,,library.avsim.net,
rcj1pid8.default-release,,modules.php,http://www.fs-freeware.net/modules.php?name=Downloads&d_op=viewdownload&cid=82#cat,,www.fs-freeware.net,
rcj1pid8.default-release,,downloads.html,http://www.simviation.com/downloads.html,,www.simviation.com,
rcj1pid8.default-release,,brochure-downloads.aspx,http://www.remington.com/pages/news-and-resources/downloads/brochure-downloads.aspx,,www.remington.com,
rcj1pid8.default-release,,downloadable-catalog,http://www.ontarioknife.com/downloadable-catalog,,www.ontarioknife.com,
rcj1pid8.default-release,,property,http://nt-1.e-net.com/cgi-win/search.exe/remaxtwin/property/property?CEQ_MLSNumber=2030573,,nt-1.e-net.com,
rcj1pid8.default-release,,Intro_To_Security.pdf,http://www.myhometheaterpc.com/downloads/Intro_To_Security.pdf,,www.myhometheaterpc.com,
rcj1pid8.default-release,,download.php,http://beemp3.com/download.php?file=2355982&song=Willie+Wonka+-+Pure+Imagination,,beemp3.com,
rcj1pid8.default-release,,index.html,http://www.intersun.com/cgi-bin/SoftCart.exe/index.html?L+sunstore+rehk1385,,www.intersun.com,
rcj1pid8.default-release,,,http://downloads.alienware.com/,,downloads.alienware.com,
rcj1pid8.default-release,,bliss.asp,http://www.microsoft.com/windowsxp/pro/downloads/bliss.asp,,www.microsoft.com,
rcj1pid8.default-release,,thankyou.php,https://www.freecad.org/thankyou.php?url=https%3A%2F%2Fgithub.com%2FFreeCAD%2FFreeCAD%2Freleases%2Fdownload%2F1.0.2%2FFreeCAD_1.0.2-conda-Windows-x86_64-installer-1.exe&lang=en,2025-09-05T04:08:50.182000+00:00,www.freecad.org,
rcj1pid8.default-release,,Magsafe.3MF,https://www.dropbox.com/scl/fi/qil7eq7cult9fi14at9lw/Magsafe.3MF?download=true&rlkey=ois8esoysfo1jfzrf65yhchh0&e=2&from_auth=register&st=f95siehj&dl=0,2025-09-04T05:22:45.821000+00:00,www.dropbox.com,
rcj1pid8.default-release,,Magsafe.3MF,https://www.dropbox.com/scl/fi/qil7eq7cult9fi14at9lw/Magsafe.3MF?download=true&e=2&from_auth=register&rlkey=ois8esoysfo1jfzrf65yhchh0&st=f95siehj&dl=0,2025-09-04T05:22:45.817000+00:00,www.dropbox.com,
rcj1pid8.default-release,,Magsafe.3MF,https://www.dropbox.com/scl/fi/qil7eq7cult9fi14at9lw/Magsafe.3MF?dl=0&download=true&e=2&from_auth=register&rlkey=ois8esoysfo1jfzrf65yhchh0&st=f95siehj,2025-09-04T05:22:45.813000+00:00,www.dropbox.com,
rcj1pid8.default-release,,Magsafe.3MF,https://www.dropbox.com/scl/fi/qil7eq7cult9fi14at9lw/Magsafe.3MF?download=true&e=1&from_auth=register&rlkey=ois8esoysfo1jfzrf65yhchh0&st=f95siehj&dl=0,2025-09-04T05:22:45.799000+00:00,www.dropbox.com,
rcj1pid8.default-release,,Magsafe.3MF,https://www.dropbox.com/scl/fi/qil7eq7cult9fi14at9lw/Magsafe.3MF?dl=0&download=true&e=1&from_auth=register&rlkey=ois8esoysfo1jfzrf65yhchh0&st=f95siehj,2025-09-04T05:22:44.879000+00:00,www.dropbox.com,
rcj1pid8.default-release,,device-setup,https://www.dropbox.com/onboarding/device-setup?cont=https%3A%2F%2Fwww.dropbox.com%2Fscl%2Ffi%2Fqil7eq7cult9fi14at9lw%2FMagsafe.3MF%3Fdl%3D0%26download%3Dtrue%26e%3D1%26from_auth%3Dregister%26rlkey%3Dois8esoysfo1jfzrf65yhchh0%26st%3Df95siehj&flow=individual,2025-09-04T05:22:42.046000+00:00,www.dropbox.com,
rcj1pid8.default-release,,use-case,https://www.dropbox.com/onboarding/use-case?cont=https%3A%2F%2Fwww.dropbox.com%2Fscl%2Ffi%2Fqil7eq7cult9fi14at9lw%2FMagsafe.3MF%3Fdl%3D0%26download%3Dtrue%26e%3D1%26from_auth%3Dregister%26rlkey%3Dois8esoysfo1jfzrf65yhchh0%26st%3Df95siehj&flow=individual,2025-09-04T05:22:40.278000+00:00,www.dropbox.com,
rcj1pid8.default-release,,onboarding,https://www.dropbox.com/onboarding?cont=https%3A%2F%2Fwww.dropbox.com%2Fscl%2Ffi%2Fqil7eq7cult9fi14at9lw%2FMagsafe.3MF%3Fdl%3D0%26download%3Dtrue%26e%3D1%26from_auth%3Dregister%26rlkey%3Dois8esoysfo1jfzrf65yhchh0%26st%3Df95siehj,2025-09-04T05:22:39.588000+00:00,www.dropbox.com,
rcj1pid8.default-release,,trial_first,https://www.dropbox.com/trial_first?cont=%2Fonboarding%3Fcont%3Dhttps%253A%252F%252Fwww.dropbox.com%252Fscl%252Ffi%252Fqil7eq7cult9fi14at9lw%252FMagsafe.3MF%253Fdl%253D0%2526download%253Dtrue%2526e%253D1%2526from_auth%253Dregister%2526rlkey%253Dois8esoysfo1jfzrf65yhchh0%2526st%253Df95siehj&is_shared=True&suggested_product_family=business,2025-09-04T05:22:24.936000+00:00,www.dropbox.com,
rcj1pid8.default-release,,downloads.php,https://www.freecad.org/downloads.php?lang=en,2025-09-04T05:18:51+00:00,www.freecad.org,
rcj1pid8.default-release,,,https://forum.ih8mud.com/threads/is-there-a-cad-model-i-can-download-of-the-interior-shape-of-the-ash-tray-cavity.1365746/,2025-09-04T05:07:05.915000+00:00,forum.ih8mud.com,
rcj1pid8.default-release,,download,https://discord.com/download,2025-07-19T20:15:57.295000+00:00,discord.com,
rcj1pid8.default-release,,Downloads,https://www.virtualbox.org/wiki/Downloads,2025-09-11T05:14:12.676000+00:00,www.virtualbox.org,
rcj1pid8.default-release,,VirtualBox-7.2.0-170228-Win.exe,https://download.virtualbox.org/virtualbox/7.2.0/VirtualBox-7.2.0-170228-Win.exe,2025-09-11T05:14:21.664000+00:00,download.virtualbox.org,executable
rcj1pid8.default-release,,,https://duckduckgo.com/?q=kali+download&t=newext,2025-09-11T05:14:56.421000+00:00,duckduckgo.com,
rcj1pid8.default-release,,,https://duckduckgo.com/?q=kali+download&t=newext&atb=v498-6,2025-09-11T05:14:57.137000+00:00,duckduckgo.com,
rcj1pid8.default-release,,,https://duckduckgo.com/?q=kali+download&t=newext&atb=v498-6&ia=web,2025-09-11T05:14:58.361000+00:00,duckduckgo.com,
rcj1pid8.default-release,,,https://www.kali.org/docs/introduction/what-image-to-download/,2025-09-11T05:15:50.760000+00:00,www.kali.org,
rcj1pid8.default-release,,kali-linux-2025.2-installer-amd64.iso,https://kali.download/base-images/kali-2025.2/kali-linux-2025.2-installer-amd64.iso,2025-09-11T05:17:06.147000+00:00,kali.download,
rcj1pid8.default-release,,win,https://git-scm.com/download/win,2025-10-14T05:12:56.240000+00:00,git-scm.com,
rcj1pid8.default-release,,win,http://git-scm.com/downloads/win,2025-10-14T05:12:56.371000+00:00,git-scm.com,
rcj1pid8.default-release,,win,https://git-scm.com/downloads/win,2025-10-14T05:12:56.643000+00:00,git-scm.com,
rcj1pid8.default-release,,Git-2.51.0.2-64-bit.exe,https://github.com/git-for-windows/git/releases/download/v2.51.0.windows.2/Git-2.51.0.2-64-bit.exe,2025-10-14T05:13:01.818000+00:00,github.com,executable
