profile,id,name,version,active,install_type,permissions,host_permissions,suspicious
rcj1pid8.default-release,{63eebab4-6bd0-44a0-8d79-7fefb998ebc1},Youtube Playback Speed Control,1.1.4,True,extension,,,
rcj1pid8.default-release,{762f9885-5a13-4abd-9c77-433dcd38b8fd},Return YouTube Dislike,3.0.0.18,True,extension,,,
rcj1pid8.default-release,extension@one-tab.com,OneTab,1.83,True,extension,,,
rcj1pid8.default-release,{aff8af88-06a9-4eee-b383-3af08c47b8c8},Capital One Shopping: Save Now,0.1.1219,True,extension,,,
rcj1pid8.default-release,{3c6bf0cc-3ae2-42fb-9993-0d33104fdcaf},'Improve YouTube!' 🎧 (for YouTube & Videos),4.1350,True,extension,,,
rcj1pid8.default-release,87677a2c52b84ad3a151a4a72f5bd3c4@jetpack,Grammarly: AI Writing and Grammar Checker App,8.934.0,True,extension,,,
rcj1pid8.default-release,uBlock0@raymondhill.net,uBlock Origin,1.67.0,True,extension,,,
rcj1pid8.default-release,jid1-ZAdIEUB7XOzOJw@jetpack,DuckDuckGo Privacy Essentials,2025.11.3,True,extension,,,
rcj1pid8.default-release,{242af0bb-db11-4734-b7a0-61cb8a9b20fb},Malwarebytes Browser Guard,3.1.1,True,extension,,,
rcj1pid8.default-release,formautofill@mozilla.org,Form Autofill,1.0.1,True,extension,,,
rcj1pid8.default-release,newtab@mozilla.org,New Tab,145.2.0,False,extension,,,
rcj1pid8.default-release,pictureinpicture@mozilla.org,Picture-In-Picture,1.0.0,True,extension,,,
rcj1pid8.default-release,addons-search-detection@mozilla.com,Add-ons Search Detection,3.0.0,True,extension,,,
rcj1pid8.default-release,webcompat@mozilla.org,Web Compatibility Interventions,145.11.0,False,extension,,,
rcj1pid8.default-release,ipp-activator@mozilla.com,IPP Activator,0.1,True,extension,,,
rcj1pid8.default-release,data-leak-blocker@mozilla.com,Data Leak Blocker,144.0.0,True,extension,,,
rcj1pid8.default-release,default-theme@mozilla.org,System theme — auto,1.4.2,True,theme,,,
rcj1pid8.default-release,firefox-compact-light@mozilla.org,Light,1.3.3,False,theme,,,
rcj1pid8.default-release,firefox-compact-dark@mozilla.org,Dark,1.3.3,False,theme,,,
rcj1pid8.default-release,firefox-alpenglow@mozilla.org,Firefox Alpenglow,1.5.1,False,theme,,,
rcj1pid8.default-release,webcompat@mozilla.org,Web Compatibility Interventions,147.8.20251126.183330,True,extension,,,
rcj1pid8.default-release,newtab@mozilla.org,New Tab,147.0.20251114.194929,True,extension,,,
rcj1pid8.default-release,support@lastpass.com,LastPass,4.149.3,True,extension,,,
rcj1pid8.default-release,{d10d0bf8-f5b5-c8b4-a8b2-2b9879e08c5d},Adblock Plus - free ad blocker,4.32.0,True,extension,,,
