Last Visit (America/Chicago),Title,URL,Profile
2025-12-03 21:53:27 UTC-06:00-0600,,file:///C:/Users/Zac/IT360-Sect-2-Project-Browser-Forensics/outputs/20251203_215306/report.html,rcj1pid8.default-release
2025-12-03 21:52:13 UTC-06:00-0600,Browser Forensics Report,file:///C:/Users/Zac/IT360-Sect-2-Project-Browser-Forensics/outputs/20251203_215159/report.html,rcj1pid8.default-release
2025-12-03 21:51:31 UTC-06:00-0600,Browser Forensics Report,file:///C:/Users/Zac/IT360-Sect-2-Project-Browser-Forensics/outputs/20251203_215113/report.html,rcj1pid8.default-release
2025-12-03 21:38:46 UTC-06:00-0600,Browser Forensics Report,file:///C:/Users/Zac/IT360-Sect-2-Project-Browser-Forensics/outputs/20251203_213830/report.html,rcj1pid8.default-release
2025-12-03 21:38:37 UTC-06:00-0600,Browser Forensics Report,file:///C:/Users/Zac/IT360-Sect-2-Project-Browser-Forensics/outputs/20251203_213830/report.html,rcj1pid8.default-release
2025-12-03 21:29:53 UTC-06:00-0600,Browser Forensics Report,file:///C:/Users/Zac/IT360-Sect-2-Project-Browser-Forensics/outputs/20251203_212949/report.html,rcj1pid8.default-release
2025-12-03 21:29:14 UTC-06:00-0600,Browser Forensics Report,file:///C:/Users/Zac/IT360-Sect-2-Project-Browser-Forensics/outputs/20251203_212908/report.html,rcj1pid8.default-release
2025-12-03 21:18:21 UTC-06:00-0600,Browser Forensics Report,file:///C:/Users/Zac/IT360-Sect-2-Project-Browser-Forensics/outputs/20251203_211814/report.html,rcj1pid8.default-release
2025-12-03 21:18:04 UTC-06:00-0600,Browser Forensics Report,file:///C:/Users/Zac/IT360-Sect-2-Project-Browser-Forensics/outputs/20251203_211347/report.html,rcj1pid8.default-release
2025-12-03 21:14:04 UTC-06:00-0600,Browser Forensics Report,file:///C:/Users/Zac/IT360-Sect-2-Project-Browser-Forensics/outputs/20251203_211347/report.html,rcj1pid8.default-release
2025-12-03 21:08:56 UTC-06:00-0600,Browser Forensics Report,file:///C:/Users/Zac/IT360-Sect-2-Project-Browser-Forensics/outputs/20251203_210850/report.html,rcj1pid8.default-release
2025-12-03 20:58:08 UTC-06:00-0600,Browser Forensics Report,file:///C:/Users/Zac/IT360-Sect-2-Project-Browser-Forensics/outputs/20251203_205800/report.html,rcj1pid8.default-release
