profile,type,window_index,tab_index,title,last_url,last_accessed_utc,entries_len,token_found,cookies_count,cookie_flags,suspicious_flags,host
rcj1pid8.default-release,cookie-only,,,,,,,,4,cookie_http_non_httponly:_ga;cookie_http_non_httponly:_ga_B9CY1C9VBC;cookie_http_non_httponly:_gat;cookie_http_non_httponly:_gid;cookie_insecure:_ga;cookie_insecure:_ga_B9CY1C9VBC;cookie_insecure:_gat;cookie_insecure:_gid,cookie_flags,mozilla.org
rcj1pid8.default-release,cookie-only,,,,,,,,8,cookie_http_non_httponly:OTZ,cookie_flags,accounts.google.com
rcj1pid8.default-release,cookie-only,,,,,,,,1,cookie_http_non_httponly:OTZ,cookie_flags,gds.google.com
rcj1pid8.default-release,cookie-only,,,,,,,,157,cookie_http_non_httponly:APISID;cookie_http_non_httponly:CONSISTENCY;cookie_http_non_httponly:PREF;cookie_http_non_httponly:SAPISID;cookie_http_non_httponly:SID;cookie_http_non_httponly:SIDCC;cookie_http_non_httponly:ST-100cdu0;cookie_http_non_httponly:ST-10hxqr0;cookie_http_non_httponly:ST-10tck46;cookie_http_non_httponly:ST-11p7kai;cookie_http_non_httponly:ST-12764g0;cookie_http_non_httponly:ST-12d515u;cookie_http_non_httponly:ST-12edatx;cookie_http_non_httponly:ST-12gmq65;cookie_http_non_httponly:ST-132891p;cookie_http_non_httponly:ST-132xnsd;cookie_http_non_httponly:ST-1484vo9;cookie_http_non_httponly:ST-14x2ma2;cookie_http_non_httponly:ST-1679m66;cookie_http_non_httponly:ST-16caqxl;cookie_http_non_httponly:ST-17j9s4q;cookie_http_non_httponly:ST-17s2xhr;cookie_http_non_httponly:ST-17svjj8;cookie_http_non_httponly:ST-183jmdn;cookie_http_non_httponly:ST-19ch7fr;cookie_http_non_httponly:ST-19w9d59;cookie_http_non_httponly:ST-1b;cookie_http_non_httponly:ST-1b61o6o;cookie_http_non_httponly:ST-1b8fd6c;cookie_http_non_httponly:ST-1dkl1oy;cookie_http_non_httponly:ST-1f73wzo;cookie_http_non_httponly:ST-1ftria6;cookie_http_non_httponly:ST-1fzg65j;cookie_http_non_httponly:ST-1giixkj;cookie_http_non_httponly:ST-1iscjii;cookie_http_non_httponly:ST-1isdk5e;cookie_http_non_httponly:ST-1ivbk0v;cookie_http_non_httponly:ST-1jto13g;cookie_http_non_httponly:ST-1jw3slp;cookie_http_non_httponly:ST-1k06sw0;cookie_http_non_httponly:ST-1k2z96z;cookie_http_non_httponly:ST-1kf3tpm;cookie_http_non_httponly:ST-1kff1w0;cookie_http_non_httponly:ST-1kjvd6g;cookie_http_non_httponly:ST-1kue5gp;cookie_http_non_httponly:ST-1kw66xo;cookie_http_non_httponly:ST-1l6tfa7;cookie_http_non_httponly:ST-1laaxha;cookie_http_non_httponly:ST-1lbhk5y;cookie_http_non_httponly:ST-1ley1nz;cookie_http_non_httponly:ST-1n3jrzx;cookie_http_non_httponly:ST-1nq5n9a;cookie_http_non_httponly:ST-1p8jge0;cookie_http_non_httponly:ST-1pcdl2e;cookie_http_non_httponly:ST-1pq0ajy;cookie_http_non_httponly:ST-1qlifgd;cookie_http_non_httponly:ST-1qzfhjk;cookie_http_non_httponly:ST-1r8ujy7;cookie_http_non_httponly:ST-1ruzml1;cookie_http_non_httponly:ST-1su19sr;cookie_http_non_httponly:ST-1sul51z;cookie_http_non_httponly:ST-1th808w;cookie_http_non_httponly:ST-1u46a9f;cookie_http_non_httponly:ST-1v26b1p;cookie_http_non_httponly:ST-1v73xp4;cookie_http_non_httponly:ST-1v7j27d;cookie_http_non_httponly:ST-1vjyfx5;cookie_http_non_httponly:ST-1vna2oh;cookie_http_non_httponly:ST-1wlzlyu;cookie_http_non_httponly:ST-1wxdkg8;cookie_http_non_httponly:ST-1x29qd6;cookie_http_non_httponly:ST-1x6ar99;cookie_http_non_httponly:ST-1yw4zu7;cookie_http_non_httponly:ST-1ywmnx9;cookie_http_non_httponly:ST-2ahby1;cookie_http_non_httponly:ST-3egrs5;cookie_http_non_httponly:ST-3itgq8;cookie_http_non_httponly:ST-3opvp5;cookie_http_non_httponly:ST-41lpau;cookie_http_non_httponly:ST-4cowf4;cookie_http_non_httponly:ST-668kv2;cookie_http_non_httponly:ST-6c3c6w;cookie_http_non_httponly:ST-70oeql;cookie_http_non_httponly:ST-74glsh;cookie_http_non_httponly:ST-7u7bnw;cookie_http_non_httponly:ST-816nsc;cookie_http_non_httponly:ST-8azc5i;cookie_http_non_httponly:ST-8fmxbh;cookie_http_non_httponly:ST-8k2wj3;cookie_http_non_httponly:ST-91c2iq;cookie_http_non_httponly:ST-9i447r;cookie_http_non_httponly:ST-9kyumg;cookie_http_non_httponly:ST-amrb2j;cookie_http_non_httponly:ST-b6v3kg;cookie_http_non_httponly:ST-da6exj;cookie_http_non_httponly:ST-ds2ons;cookie_http_non_httponly:ST-e029mh;cookie_http_non_httponly:ST-exkm6m;cookie_http_non_httponly:ST-fdaaxw;cookie_http_non_httponly:ST-g1h317;cookie_http_non_httponly:ST-gquzxd;cookie_http_non_httponly:ST-hcbf8d;cookie_http_non_httponly:ST-hibhud;cookie_http_non_httponly:ST-hmeb19;cookie_http_non_httponly:ST-hv1k6i;cookie_http_non_httponly:ST-i01xeh;cookie_http_non_httponly:ST-i3s553;cookie_http_non_httponly:ST-iaimeu;cookie_http_non_httponly:ST-ixj42j;cookie_http_non_httponly:ST-jsk0vi;cookie_http_non_httponly:ST-jz14;cookie_http_non_httponly:ST-kak76u;cookie_http_non_httponly:ST-l70nss;cookie_http_non_httponly:ST-m80fw0;cookie_http_non_httponly:ST-mvvd3y;cookie_http_non_httponly:ST-n9fkct;cookie_http_non_httponly:ST-oa4r9z;cookie_http_non_httponly:ST-oj9c0m;cookie_http_non_httponly:ST-p2cwky;cookie_http_non_httponly:ST-qazmdt;cookie_http_non_httponly:ST-rdoh1e;cookie_http_non_httponly:ST-rk6q76;cookie_http_non_httponly:ST-sfby7m;cookie_http_non_httponly:ST-suw5yu;cookie_http_non_httponly:ST-t64jbw;cookie_http_non_httponly:ST-tb8tq7;cookie_http_non_httponly:ST-tk9u7c;cookie_http_non_httponly:ST-tladcw;cookie_http_non_httponly:ST-u7tzk2;cookie_http_non_httponly:ST-unhoh2;cookie_http_non_httponly:ST-ur6ytl;cookie_http_non_httponly:ST-v3fq33;cookie_http_non_httponly:ST-w9mp78;cookie_http_non_httponly:ST-wj2mxg;cookie_http_non_httponly:ST-wjm08a;cookie_http_non_httponly:ST-x07mrm;cookie_http_non_httponly:ST-xuwub9;cookie_http_non_httponly:ST-yve142;cookie_http_non_httponly:ST-z0tkth;cookie_http_non_httponly:ST-z9gsqq;cookie_http_non_httponly:ST-z9km4i;cookie_http_non_httponly:__Secure-1PAPISID;cookie_http_non_httponly:__Secure-3PAPISID;cookie_insecure:APISID;cookie_insecure:HSID;cookie_insecure:SID;cookie_insecure:SIDCC;cookie_insecure:ST-100cdu0;cookie_insecure:ST-10hxqr0;cookie_insecure:ST-10tck46;cookie_insecure:ST-11p7kai;cookie_insecure:ST-12764g0;cookie_insecure:ST-12d515u;cookie_insecure:ST-12edatx;cookie_insecure:ST-12gmq65;cookie_insecure:ST-132891p;cookie_insecure:ST-132xnsd;cookie_insecure:ST-1484vo9;cookie_insecure:ST-14x2ma2;cookie_insecure:ST-1679m66;cookie_insecure:ST-16caqxl;cookie_insecure:ST-17j9s4q;cookie_insecure:ST-17s2xhr;cookie_insecure:ST-17svjj8;cookie_insecure:ST-183jmdn;cookie_insecure:ST-19ch7fr;cookie_insecure:ST-19w9d59;cookie_insecure:ST-1b;cookie_insecure:ST-1b61o6o;cookie_insecure:ST-1b8fd6c;cookie_insecure:ST-1dkl1oy;cookie_insecure:ST-1f73wzo;cookie_insecure:ST-1ftria6;cookie_insecure:ST-1fzg65j;cookie_insecure:ST-1giixkj;cookie_insecure:ST-1iscjii;cookie_insecure:ST-1isdk5e;cookie_insecure:ST-1ivbk0v;cookie_insecure:ST-1jto13g;cookie_insecure:ST-1jw3slp;cookie_insecure:ST-1k06sw0;cookie_insecure:ST-1k2z96z;cookie_insecure:ST-1kf3tpm;cookie_insecure:ST-1kff1w0;cookie_insecure:ST-1kjvd6g;cookie_insecure:ST-1kue5gp;cookie_insecure:ST-1kw66xo;cookie_insecure:ST-1l6tfa7;cookie_insecure:ST-1laaxha;cookie_insecure:ST-1lbhk5y;cookie_insecure:ST-1ley1nz;cookie_insecure:ST-1n3jrzx;cookie_insecure:ST-1nq5n9a;cookie_insecure:ST-1p8jge0;cookie_insecure:ST-1pcdl2e;cookie_insecure:ST-1pq0ajy;cookie_insecure:ST-1qlifgd;cookie_insecure:ST-1qzfhjk;cookie_insecure:ST-1r8ujy7;cookie_insecure:ST-1ruzml1;cookie_insecure:ST-1su19sr;cookie_insecure:ST-1sul51z;cookie_insecure:ST-1th808w;cookie_insecure:ST-1u46a9f;cookie_insecure:ST-1v26b1p;cookie_insecure:ST-1v73xp4;cookie_insecure:ST-1v7j27d;cookie_insecure:ST-1vjyfx5;cookie_insecure:ST-1vna2oh;cookie_insecure:ST-1wlzlyu;cookie_insecure:ST-1wxdkg8;cookie_insecure:ST-1x29qd6;cookie_insecure:ST-1x6ar99;cookie_insecure:ST-1yw4zu7;cookie_insecure:ST-1ywmnx9;cookie_insecure:ST-2ahby1;cookie_insecure:ST-3egrs5;cookie_insecure:ST-3itgq8;cookie_insecure:ST-3opvp5;cookie_insecure:ST-41lpau;cookie_insecure:ST-4cowf4;cookie_insecure:ST-668kv2;cookie_insecure:ST-6c3c6w;cookie_insecure:ST-70oeql;cookie_insecure:ST-74glsh;cookie_insecure:ST-7u7bnw;cookie_insecure:ST-816nsc;cookie_insecure:ST-8azc5i;cookie_insecure:ST-8fmxbh;cookie_insecure:ST-8k2wj3;cookie_insecure:ST-91c2iq;cookie_insecure:ST-9i447r;cookie_insecure:ST-9kyumg;cookie_insecure:ST-amrb2j;cookie_insecure:ST-b6v3kg;cookie_insecure:ST-da6exj;cookie_insecure:ST-ds2ons;cookie_insecure:ST-e029mh;cookie_insecure:ST-exkm6m;cookie_insecure:ST-fdaaxw;cookie_insecure:ST-g1h317;cookie_insecure:ST-gquzxd;cookie_insecure:ST-hcbf8d;cookie_insecure:ST-hibhud;cookie_insecure:ST-hmeb19;cookie_insecure:ST-hv1k6i;cookie_insecure:ST-i01xeh;cookie_insecure:ST-i3s553;cookie_insecure:ST-iaimeu;cookie_insecure:ST-ixj42j;cookie_insecure:ST-jsk0vi;cookie_insecure:ST-jz14;cookie_insecure:ST-kak76u;cookie_insecure:ST-l70nss;cookie_insecure:ST-m80fw0;cookie_insecure:ST-mvvd3y;cookie_insecure:ST-n9fkct;cookie_insecure:ST-oa4r9z;cookie_insecure:ST-oj9c0m;cookie_insecure:ST-p2cwky;cookie_insecure:ST-qazmdt;cookie_insecure:ST-rdoh1e;cookie_insecure:ST-rk6q76;cookie_insecure:ST-sfby7m;cookie_insecure:ST-suw5yu;cookie_insecure:ST-t64jbw;cookie_insecure:ST-tb8tq7;cookie_insecure:ST-tk9u7c;cookie_insecure:ST-tladcw;cookie_insecure:ST-u7tzk2;cookie_insecure:ST-unhoh2;cookie_insecure:ST-ur6ytl;cookie_insecure:ST-v3fq33;cookie_insecure:ST-w9mp78;cookie_insecure:ST-wj2mxg;cookie_insecure:ST-wjm08a;cookie_insecure:ST-x07mrm;cookie_insecure:ST-xuwub9;cookie_insecure:ST-yve142;cookie_insecure:ST-z0tkth;cookie_insecure:ST-z9gsqq;cookie_insecure:ST-z9km4i,cookie_flags,youtube.com
rcj1pid8.default-release,cookie-only,,,,,,,,1,,,sp.retailmenot.com
rcj1pid8.default-release,cookie-only,,,,,,,,8,cookie_http_non_httponly:w82S5kL1;cookie_http_non_httponly:wb_needs_send_install_event;cookie_http_non_httponly:wb_profile_id;cookie_insecure:w82S5kL1;cookie_insecure:wb_needs_send_install_event;cookie_insecure:wb_profile_id,cookie_flags,capitaloneshopping.com
rcj1pid8.default-release,cookie-only,,,,,,,,19,cookie_http_non_httponly:APISID;cookie_http_non_httponly:DV;cookie_http_non_httponly:SAPISID;cookie_http_non_httponly:SEARCH_SAMESITE;cookie_http_non_httponly:SID;cookie_http_non_httponly:SIDCC;cookie_http_non_httponly:__Secure-1PAPISID;cookie_http_non_httponly:__Secure-3PAPISID;cookie_insecure:APISID;cookie_insecure:DV;cookie_insecure:HSID;cookie_insecure:SEARCH_SAMESITE;cookie_insecure:SID;cookie_insecure:SIDCC,cookie_flags,google.com
rcj1pid8.default-release,cookie-only,,,,,,,,13,cookie_http_non_httponly:XSRF-TOKEN;cookie_http_non_httponly:_sp_id.519d;cookie_http_non_httponly:_sp_ses.519d;cookie_http_non_httponly:deviceFingerprint;cookie_http_non_httponly:session;cookie_http_non_httponly:sift;cookie_http_non_httponly:userQualifier;cookie_insecure:deviceFingerprint;cookie_insecure:session;cookie_insecure:sift;cookie_insecure:userQualifier,cookie_flags,retailmenot.com
rcj1pid8.default-release,cookie-only,,,,,,,,3,cookie_http_non_httponly:ak_bmsc;cookie_http_non_httponly:bm_sv;cookie_insecure:ak_bmsc,cookie_flags,virtualbox.org
rcj1pid8.default-release,cookie-only,,,,,,,,1,,,kali.org
